Year,Ceremony_Number,Decade,Era,Category,Award_Group,Winner,Artist,Status,Total_Wins,Category_Total_Winners,Data_Source,Collection_Date
1993,35,1990,1990s,Record of the Year,Big Four,Tears in Heaven,Eric Clapton,Winner,3,69,Wikipedia,2026-02-08
1993,35,1990,1990s,Song of the Year,Big Four,Eric ClaptonWill Jennings,"Tears in Heaven"" *",Winner,1,73,Wikipedia,2026-02-08
1992,34,1990,1990s,Album of the Year,Big Four,Unforgettable... with Love,Natalie Cole,Winner,2,69,Wikipedia,2026-02-08
1992,34,1990,1990s,Best New Artist,Big Four,Marc Cohn,Marc Cohn,Winner,1,67,Wikipedia,2026-02-08
1992,34,1990,1990s,Record of the Year,Big Four,Unforgettable,Natalie Cole (With Nat King Cole),Winner,1,69,Wikipedia,2026-02-08
1992,34,1990,1990s,Song of the Year,Big Four,Irving Gordon,"Unforgettable"" *",Winner,1,73,Wikipedia,2026-02-08
1991,33,1990,1990s,Album of the Year,Big Four,Back on the Block,Quincy Jones,Winner,1,69,Wikipedia,2026-02-08
1991,33,1990,1990s,Best New Artist,Big Four,Mariah Carey,Mariah Carey,Winner,1,67,Wikipedia,2026-02-08
1991,33,1990,1990s,Record of the Year,Big Four,Another Day in Paradise,Phil Collins,Winner,2,69,Wikipedia,2026-02-08
1991,33,1990,1990s,Song of the Year,Big Four,Julie Gold,From a Distance,Winner,1,73,Wikipedia,2026-02-08
1990,32,1990,1990s,Album of the Year,Big Four,Nick of Time,Bonnie Raitt,Winner,2,69,Wikipedia,2026-02-08
1990,32,1990,1990s,Best New Artist,Big Four,Milli Vanilli (Later Revoked)[III],Milli Vanilli (Later Revoked)[III],Winner,1,67,Wikipedia,2026-02-08
1990,32,1990,1990s,Record of the Year,Big Four,Wind Beneath My Wings,Bette Midler,Winner,2,69,Wikipedia,2026-02-08
1990,32,1990,1990s,Song of the Year,Big Four,Larry HenleyJeff Silbar,"Wind Beneath My Wings"" *",Winner,1,73,Wikipedia,2026-02-08
1989,31,1980,1980s,Album of the Year,Big Four,Taylor Swift,"Jack Antonoff, Nathan Chapman, Imogen Heap, Max Martin, Mattman & Robin, Ali Payami, Shellback, Taylor Swift, Ryan Tedder & Noel Zancanella, producers; Jack Antonoff, Mattias Bylund, Smith Carlson, Nathan Chapman, Şerban Ghenea, John Hanes, Imogen Heap, Sam Holland, Michael Ilbert, Brendan Morawski, Laura Sisk & Ryan Tedder, engineers/mixers; Tom Coyne, mastering engineer",Winner,1,69,Wikipedia,2026-02-08
1989,31,1980,1980s,Album of the Year,Big Four,Faith,George Michael,Winner,1,69,Wikipedia,2026-02-08
1989,31,1980,1980s,Best New Artist,Big Four,Tracy Chapman,Tracy Chapman,Winner,1,67,Wikipedia,2026-02-08
1989,31,1980,1980s,Record of the Year,Big Four,"Don't Worry, Be Happy",Bobby McFerrin,Winner,1,69,Wikipedia,2026-02-08
1989,31,1980,1980s,Song of the Year,Big Four,Bobby McFerrin,"Don't Worry, Be Happy"" *",Winner,1,73,Wikipedia,2026-02-08
1988,30,1980,1980s,Album of the Year,Big Four,The Joshua Tree,U2,Winner,4,69,Wikipedia,2026-02-08
1988,30,1980,1980s,Best New Artist,Big Four,Jody Watley,Jody Watley,Winner,1,67,Wikipedia,2026-02-08
